text,label
"Khoảng 2 tuần nay chồng tôi có biểu hiện lạ. Anh ấy luôn nghi ngờ mọi người xung quanh, ngoài ra không ý thức được bản thân mình đang làm gì, cứ thích là làm. Ví dụ như hay gào khóc, dọn vệ sinh thái quá, thậm chí có lúc chui xuống ống cống moi móc, yêu cầu mọi thứ phải sạch sẽ. Anh ấy luôn tự trách móc bản thân, ban ngày thì hành hạ chính mình, ban đêm không ngủ, nhìn đâu cũng thấy ma, không muốn mặc quần áo. Tuy vậy, anh vẫn nhớ mọi việc. Thỉnh thoảng anh nói rằng mình bị ma làm cho như vậy. Tôi không biết phải làm sao vì anh không chịu đi khám, và với tình trạng này anh ấy đã gầy đi rất nhiều.",Rối loạn loạn thần
"Bệnh Parkinson là dạng phổ biến nhất của parkinsonism và đôi khi được gọi là ""bệnh parkinson vô căn"", có nghĩa là bệnh parkinson không có nguyên nhân xác định. Các nguyên nhân có thể xác định được của bệnh parkinson bao gồm độc tố, nhiễm trùng, tác dụng phụ của thuốc, rối loạn chuyển hóa và các tổn thương não như đột quỵ. Một số rối loạn thoái hóa thần kinh cũng có thể xuất hiện cùng với bệnh parkinson và đôi khi được gọi là hội chứng "" parkinson không điển hình"" hoặc ""Parkinson plus"" (bệnh parkinson cộng với một số đặc điểm khác phân biệt chúng với PD). Chúng bao gồm việc teo nhiều hệ thống, liệt siêu nhân tiến triển, thoái hóa corticobasal, và sa sút trí tuệ với thể Lewy (DLB).",Bệnh Parkinson
"Thực hành thiền sẽ giúp bạn làm việc với suy nghĩ, thôi thúc và cảm xúc của mình đối với phim đen rõ ràng hơn.",Chứng nghiện
"Một số nguyên nhân có thể gây nên ảo thanh: Bệnh tâm thần. Rượu và ma túy. Bệnh sa sút trí tuệ (điển hình là Alzheimer). U não. Động kinh. Điếc. Sốt cao, nhiễm trùng. Stress nặng. Đau đầu migraine. Bệnh Parkinson. Tác dụng phụ của thuốc. Rối loạn giấc ngủ. Bệnh tuyến giáp. Bệnh ù tai",Ảo Thanh
"Rối loạn khả năng suy nghĩ đôi khi khiến lời nói của họ trở nên vô cùng khó hiểu, hoặc bệnh nhân đang nói dừng đột ngột rồi 1 lúc sau có thể tiếp tục hoặc chuyển chủ đề",Tâm thần phân liệt
"Người bạn cùng phòng của tôi nói mỗi tối tôi đều la hét, vật lộn, bạn tôi gọi mãi cũng không được. Thế nhưng điều kì là tôi lại không nhớ gì cả, chỉ cảm thấy rất mệt mỏi mỗi khi ngủ dậy.",Khác
"*Rối loạn lo âu xã hội: Bệnh nhân có rối loạn lo âu xã hội thường có lo âu tập trung vào tình huống xã hội mà họ phải thực hiện hoặc được đánh giá bởi người khác. Ngược lại, lo âu ở bệnh nhân bị GAD có thể có hoặc không bị người khác đánh giá. Lo âu ở GADthường xuyên hơn, loa âu trong ám ảnh sợ xã hội xuất hi ện trong các hoạt động xã hội và triệu chứng cơ thể của họ chủ yếu là đánh trống ngực, đỏ mặt và run.
 *Rối loạn ám ảnh cưỡng bức: Trong GAD, lo âu quá mức có tâm điểm là những vấn đề sắp xảy ra và mức độ thái quá của lo âu về những sự kiện tương lai là bất thường. Trong rối loạn ám ảnh cưỡng bức lo âu do các ý tưởng, hình ảnh, tư duy xuất hiện mang tính cưỡng bức gây ra hay nói lo âu trong phạm vi ám ảnh.",Rối loạn lo âu xã hội (SAD)
"Bệnh rối loạn hoảng hốt (panic disorders) có ảnh hưởng đến sự bất thường của não ở thùy thái thái dương, khu chân hãi mã, và lõi não (brain stem). Khi người bệnh đang trong cơn hốt hoảng, sợ hãi thì lượng máu luân chuyển trong não bộ thường bị ức chế. Bệnh rối loạn hoảng hốt cũng được tìm thấy là có liên hệ đến sự thiếu hụt của các chất dẫn truyền thần kinh serotonin và gammaaminobutyric acid (GABA).",Rối loạn hoảng sợ (Panic disorder)
"Rối loạn stress hậu chấn thương (PTSD) là hậu quả của những chấn thương, tinh thần hoặc thể chất, đã để lại cho người đã từng chứng kiến hay trực tiếp can dự vào những biến cố kinh khủng, có tầm mức đe dọa đến mạng sống của họ hay của người thân trước đây. Nói cách khác, nó là một phản ứng có tính bệnh hoạn sau một thời gian cá nhân phải đương đầu với một hay nhiều chấn động mạnh (shock) xảy ra từ môi trường bên ngoài.",Rối loạn căng thẳng sau sang chấn (PTSD)
"Dấu hiệu và triệu chứng của paranoid, dưới đây là một số dấu hiệu cần chú ý: 
 
 Phòng thủ và tiêu cực trước những chỉ trích không có thực
 Luôn trong trạng thái sẵn sàng tranh luận 
 Khó tha thứ cho người khác
 Cảnh giác cao độ
 Sợ bị lợi dụng hoặc bị lừa dối
 Không có khả năng thư giãn
 Mất lòng tin vào người xung quanh
 Tin rằng người khác có những động cơ ẩn giấu đằng sau hành động của họ.",Khác
"Khí sắc chan hòa, sự lạc quan quá mức, sự khuyếch đại và khả năng phán xét kém thường dẫn tới việc tham gia một cách bất cẩn vào các hoạt động như tiêu tiền bừa bãi, cho đồ, lái xe ẩu, đầu tư kinh doanh một cách ngớ ngẩn, và tình dục bừa bãi, những điều mà trước đây người đó thường không làm, mặc dù những hoạt động này có thể để lại hậu quả thảm họa (Tiêu chí B7). Người đó có thể mua nhiều thứ không cần thiết nằm ngoài khả năng chi trả, và thậm chí trong
 một số trường hợp là mua rồi đem cho. Hành vi tình dục cũng có thể bao gồmviệc quan hệ tình dục một cách không chung thủy hoặc bừa bãi với người lạ, thường không suy nghĩ đến nguy cơ mắc bệnh lan truyền qua đường tình dục hay hậu quả về con người.",Rối loạn lưỡng cực (Bipolar disorder)
"Bà Lê Thị Thanh, 42 tuổi, thường xuyên nghe thấy giọng nói chỉ trích và nhạo báng bà khi ở nhà một mình. Bà cảm thấy rất đau khổ và tự ti. Bác sĩ nên làm gì để giúp bà Thanh?",Ảo Thanh
"Các triệu chứng dễ quan sát của hội chứng Diogenes như sau: Phát ban trên da do vệ sinh kém. Tóc rối và rối bù. Móng tay và móng chân có xu hướng dài. Mùi cơ thể. Ngoại hình kém. Có những vết thương không rõ nguyên nhân. Suy dinh dưỡng hoặc suy dinh dưỡng. Mất nước. Điều kiện sống lộn xộn, bẩn thỉu, có cả đống đồ đạc hoặc rác thải. Từ chối giúp đỡ hoặc giúp đỡ người khác",Hội chứng Diogenes
"Yếu tố môi trường: Theo nghiên cứu của các chuyên gia cho biết rằng, căn bệnh rối loạn ám ảnh cưỡng chế cũng có thể hình thành từ các hành vi, thói quen được thực hiện lặp đi lặp lại trong một thời gian dài.",Rối loạn lo âu
Sự khác nhau giữa bé trai và bé gái bị mắc chứng tăng động giảm chú ý là gì ?,Rối loạn hành vi
"Tiến sĩ Dr. Fabio Camilletti – PGS tại Đại học Warwick in Coventry ( Vương quốc Anh) đã đưa ra định nghĩa cụ thể hơn về hội chứng Stendhal là chuỗi phản ứng cả về tinh thần lẫn thể chất khi đối diện với cái đẹp thẩm mỹ ( không phải là vẻ đẹp tự nhiên), hay ở đây chính là vẻ đẹp từ các tác phẩm nghệ thuật, công trình được sáng tạo bởi bàn tay của con người.",Hội chứng Stendhal
"Những bệnh khác cũng có liên quan đến OCD bao gồm thói giật râu tóc (bị thôi thúc giật tóc, lông mi, lông mày…), mặc cảm ngoại hình (bận tâm quá mức đồng thời phóng đại các khiếm khuyết của ngoại hình hoặc thậm chí tự tưởng tượng ra chúng) và chứng nghi bệnh. Theo các nhà nghiên cứu có thể các bệnh này có chung căn nguyên sinh học hoặc tâm lý. Còn hiện tại vẫn chưa biết mối liên hệ rõ ràng giữa rối loạn ám ảnh cưỡng chế và các bệnh trên cụ thể như thế nào. Người mắc rối loạn ám ảnh cưỡng chế khá nặng bị ảnh hưởng rất nhiều đến cuộc sống hàng ngày.",Rối loạn ám ảnh cưỡng chế (OCD)
"Theo Hiệp hội Tâm lý học Hoa Kỳ – APA, hưng cảm (mania) là tình trạng tâm trạng hứng khởi cao bất thường hoặc dễ bị kích thích, cáu kỉnh, khuấy động và (hoặc) cảm nhận cơ thể tràn đầy năng lượng. Mức độ hưng phấn này rất khác khi so với con người bình thường của bạn.
 Hưng cảm khiến người mắc phải có cảm giác hưng phấn, nhiều năng lượng nên có thể kéo theo tình trạng khó ngủ, thèm ăn, hoạt động thể chất mạnh…Tuy nhiên, ngay trước hoặc ngay sau khoảng thời gian này, họ có thể cảm thấy trầm buồn và u uất trở lại.",Rối loạn lưỡng cực (Bipolar disorder)
"Càng sử dụng, hiệu ứng FOMO càng tăng, cảm giác không thỏa đáng, không hài lòng và cảm giác bị cô lập có phải không",Nghiện mạng xã hội
Cả truyền hình đại chúng và eating disorder phát triển mạnh gần đây đúng không?,Rối loạn ăn uống
Các biến thể khác nhau của phát âm bình thường có được xem là một trong những nguyên nhân gây rối loạn phát âm không?,Khác
PD có bao nhiêu triệu chứng về vận động?,Bệnh Parkinson
Các triệu chứng thường có xu hướng xuất hiện vào buổi sáng sau khi ngủ dậy.,Rối loạn tiền đình
Serotonin được tiết ra bởi ruột và hệ thần kinh trung ương trong thời gian tiêu hóa đúng không?,Rối loạn ăn uống
Rối loạn chức năng tình dục là gì?,Rối loạn chức năng tình dục
" Sự sợ hãi, lo âu, hoặc né tránh do rối loạn lo âu xã hội gây ra thường kéo dài trong bao lâu ?",Rối loạn lo âu xã hội (SAD)
Rối loạn hoảng sợ không được chẩn đoán khi cơn hoảng sợ là hậu quả sinh lý của bệnh lý cơ thể,Rối loạn hoảng sợ (Panic disorder)
"Những hậu quả của trầm cảm trên đời sống mỗi người là rất trầm trọng. Người bệnh luôn cảm thấy một màu sắc u buồn xoay quanh cuộc sống, chỉ muốn nhốt mình trong phòng và có nguy cơ thất nghiệp rất cao.",Rối loạn trầm cảm
 Cần ít nhất mấy triệu chứng trong 7 triệu chứng được thể hiện rõ ràng để nhận định một người mắc chứng rối loạn lưỡng cực I ở giai đoạn hưng cảm ?,Rối loạn lưỡng cực (Bipolar disorder)
"Trong yếu tố di truyền được cho là góp phần gây ra rối loạn phổ tự kỷ, đâu là những gen cơ bản gây ra rối loạn trên?",Rối loạn phổ tự kỷ (ASD)
Nguyên nhân khiến trẻ bị ASD bẩm sinh vẫn còn được tranh cãi khá nhiều và vẫn chưa có câu trả lời cụ thể đúng không?,Rối loạn phổ tự kỷ (ASD)
"Em vợ tôi không làm việc được ở những nơi cần sự giao tiếp, từng làm việc ở một vài nơi nhưng không tồn tại được lâu.",Rối loạn lo âu xã hội (SAD)
Giai đoạn thứ 4 của việc nghiện phim khiêu dâm là gì?,Chứng nghiện
Triệu chứng ảo giác Lilliputian trong AIWS xuất phát từ cuốn tiểu thuyết nào?,Hội chứng Alice in Wonderland
"Những đối tượng bệnh rối loạn dạng cơ thể luôn có cảm nhận quá mức về các khuyết điểm trên cơ thể như mũi, da, tóc, bụng, ngực, mông,…Đối với họ, hình thức bên ngoài vô cùng quan trọng, khi xảy ra các vấn đề về ngoại hình họ thường cảm thấy đau khổ tột cùng, suy sụp và gặp rất nhiều khó khăn đối với các hoạt động sinh hoạt hàng ngày.",Rối loạn tâm thần
Những tiêu chuẩn phi thực tế về tiêu chuẩn vẻ đẹp gây hại cho phụ nữ da màu đúng không?,Rối loạn ăn uống
"Khi bạn ở trong một tình huống ngột ngạt, chật hẹp thì các nhà trị liệu có thể sẽ đưa ra một số kỹ thuật thư giãn và hình dung riêng cho mỗi người. Các bài tập có thể bao gồm việc hình dung ra một không gian an toàn hoặc đếm ngược từ 10.",Chứng sợ không gian hẹp (Claustrophobia)
"Rối loạn nhân cách hoang tưởng (Paranoid personality disorder) là một rối loạn nhân cách, không phải là một rối loạn tâm thần. Rối loạn nhân cách hoang tưởng được đánh giá là loại hoang tưởng nhẹ nhất.
 
 Người bị rối loạn nhân cách hoang tưởng thường cho rằng người khác sẽ làm hại, lừa dối hoặc lợi dụng họ, ngay cả khi không có bằng chứng thực tế. Tuy nhiên, rối loạn nhân cách hoang tưởng không bao gồm các triệu chứng như ảo giác hoặc tâm thần nghiêm trọng.",Khác
"Các đồ ăn chế biến sẵn ở đây bao gồm cả các món ăn vặt, snack, thức ăn nhanh hay các loại thức ăn đóng hộp. Thường các thực phẩm chế biến sẵn sẽ có hàm lượng đường hoặc muối khá cao gây hại cho thận hay hệ tiêu hóa, đồng thời các chất bảo quản được dùng cũng liên quan mật thiết đến sức khỏe.",Rối loạn thần kinh thực vật
"Mặc dù trầm cảm chiếm đa số, một khi giai đoạn hưng cảm nhẹ xảy ra thì chẩn đoán sẽ trở thành rối loạn lưỡng cực II và không bao giờ quay ngược lại rối loạn trầm cảm điển hình.",Rối loạn lưỡng cực (Bipolar disorder)
"Các rối loạn phổ TTPL và các rối loạn loạn thần khác bao gồm TTPL, các rối loạn loạn thần khác, và rối loạn nhân cách kiểu phân liệt. Chúng được định nghĩa bởi những bất thường trong một hoặc nhiều hơn trong 5 lĩnh vực chính sau đây: hoang tưởng, ảo giác, tư duy (lời nói) vô tổ chức, hành vi vô tổ chức hoặc hành vi vận động bất thường rõ rệt (bao gồm căng trương lực), và những triệu chứng âm tính.",Tâm thần phân liệt
Nữ mắc OCD nhiều hơn nam đúng không?,Rối loạn ám ảnh cưỡng chế (OCD)
Nguyên nhân gây nên chứng rối loạn cư xử có phải là do yếu tố sinh học ?,Rối loạn hành vi
Nghiện social media được ai gọi là chứng nghiện hành vi,Nghiện mạng xã hội
"Rối loạn loạn thần cấp và nhất thời thường xuất hiện không quá 2 tuần. Thông thường, các triệu chứng của bệnh chỉ kéo dài trong khoảng 48 giờ và bạn có thể nhận biết qua các biểu hiện sau:
 
 Lo lắng sợ hãi, rối loạn giấc ngủ.
 Một số trường hợp thường có hành vi tác phong trở nên khác thường, không tương xứng với hoàn cảnh.",Rối loạn loạn thần
 Phụ huynh có thể phát hiện ra bệnh rối loạn tiền đình sớm ở trẻ em không ?,Rối loạn tiền đình
"Rối loạn lo âu có xu hướng khác với lo âu thông thường và bình thường ở chỗ dai dẳng (> 6 tháng), quá mức, suy nhược và khó chịu.
 Rối loạn lo âu có thể gây ra một loạt các triệu chứng thực thể, bao gồm:
 Đường tiêu hóa: Buồn nôn, nôn ói, tiêu chảy
 Phổi: Khó thở, nghẹt sặc
 Thần kinh thực vật: Chóng mặt, ngất xỉu, đổ mồ hôi, nóng lạnh
 Tim: Trống ngực, nhịp tim nhanh
 Cơ xương khớp: Căng cơ, đau ngực hoặc tức ngực",Rối loạn lo âu
"Hành vi khởi nguồn từ tâm lý, hàng loạt các vấn đề có thể xảy đến với người mắc bệnh chán ăn tâm thần, họ có sự nhìn nhận về trọng lượng cũng như vẻ đẹp hết sức sai lệch, cụ thể là: Không chấp nhận trọng lượng hay sức khỏe ở mức bình thường;",Chán ăn tâm thần
"Các triệu chứng của Rối loạn tăng động  giảm chú ý (ADHD) có thể gây ra vấn đề trong một mối quan hệ:
 – Khó tập trung. Nếu bạn mắc ADHD, bạn có thể bị xao nhãng trong lúc nói chuyện, điều này có thể khiến nửa kia cảm thấy bị ngó lơ và không coi trọng. Bạn có thể bỏ lỡ những chi tiết quan trọng hoặc đồng ý đại một cái gì đó và rồi lại không nhớ đó là cái gì, điều này có thể sẽ khiến đối phương bực bội.
 – Hay quên. Ngay cả khi một người mắc ADHD có tập trung đi nữa, thì họ vẫn có thể, ngay sau đó, quên mất mình đã hứa hay thảo luận những gì. Ví dụ như sinh nhật người kia hoặc loại sữa hộp bạn nói sẽ sẽ đi lấy, thì nửa kia có thể bắt đầu cảm thấy bạn không quan tâm hoặc không đáng tin.",Rối loạn tăng động giảm chú ý (ADHD)
"Rối loạn nhân cách né tránh (Avoidant Personality Disorder  AVPD) là một dạng hành vi lâu dài liên quan đến sự ức chế xã hội, cảm giác không xứng đáng, và nhạy cảm với sự từ chối gây nên các vấn đề trong công việc hay những mối quan hệ.",Rối loạn nhân cách né tránh (AVPD)
 Khi nhận thấy các triệu chứng của bệnh thì phụ huynh nên làm gì ?,Rối loạn hệ thần kinh thực vật ở trẻ em
Hội chứng Stockholm có thể xuất hiện trong tình huống nào sau đây?,Hội chứng Stockholm
"D. Rối loạn không xảy ra trong quá trình tiến triển của sảng.
 E. Rối loạn gây ra các triệu chứng khó chịu hoặc làm giảm các chức năng xã hội, nghề nghiệp hoặc các chức năng quan trọng khác.
 Lưu ý: Chẩn đoán này nên được thay cho chẩn đoán ngộ độc chất hoặc trạng thái cai một chất chỉ khi các triệu chứng trong tiêu chuẩn A chiếm ưu thế trong bệnh cảnh lâm sàng và nó đủ nghiêm trọng để gây chú ý trên lâm sàng.",Khác
"Người cao tuổi thường mắc bệnh cơ xương khớp, tiêu hóa, tiết niệu, thần kinh (Parkinson, Alzheimer, đau đầu, thiếu máu não, phình, hẹp mạch máu não)... Hầu hết bệnh này đều gây mất ngủ vào ban đêm. Dấu hiệu ban đầu là khó vào giấc, sau đó thường tỉnh dậy nửa đêm, không duy trì được giấc ngủ chất lượng. Người cao tuổi thường có nguy cơ rối loạn lo âu cao hơn, lo lắng, ảnh hưởng đến giấc ngủ.",Mất ngủ
"Cô Lê Thị Thanh, 31 tuổi, nghe thấy giọng nói trong đầu bảo cô làm những hành vi nguy hiểm. Cô rất lo lắng và không biết phải làm gì. Bác sĩ nên làm gì để giúp cô Thanh?",Ảo Thanh
"Mình cũng không biết đây có phải overthinking không. Cứ mỗi lần ai đó mặt quạo với mình, hay nói những câu làm tổn thương mình dù chỉ 1 chút, thì trong đầu mình lại tự vẽ ra 1 câu chuyện, tự suy diễn lung tung, chẳng hạn như mình đã làm gì khiến họ như vậy, mình thật tồi tệ phải không..., rồi tự đem đến cảm giác lo lắng, sợ hãi, sợ họ sẽ giận mình, sẽ cắt đứt mối quan hệ với mình. Lâu dần mọi chuyện từ những cái nhỏ nhặt cũng khiến mình suy nghĩ nhiều, khiến đầu óc mình không được tỉnh táo nữa, dễ mất tập trung, dễ bị hoảng sợ, tim đập mạnh, nhiều lúc giống như bị khờ luôn. Đơn giản như họ trả lời tin nhắn mình là: ""Ừ"", vậy thôi cũng khiến mình suy diễn nhiều thứ rồi.",Rối loạn lo âu lan tỏa (GAD)
Hệ thống phần thưởng của cơ quan nào thường hoạt động rất tích cực ở lứa tuổi thanh thiếu niên.,Nghiện mạng xã hội
"Theo đó, sự tác động của sang chấn tâm lý khiến cho võ nào không thể tự điều khiển và lâm vào trạng thái ức chế. Lúc này, hoạt động của vùng dưới vỏ bị kích thích hoạt động nhiều hơn và gây ra tình trạng rối loạn phân ly. Trong một số trường hợp sang chấn tâm lý có thể gây ra phản ứng dây chuyền. Đó là khi trong một tập thể có 1 người bị nó sẽ rất dễ lây lan và gây ra rối loạn phân ly tập thể.",Rối loạn phân ly (Dissosiative Disorder)
Một vài căn bệnh liên quan đến thể chất và tinh thần có thể làm tăng cường độ sinh hoạt tình dục của bạn đến một mức nguy hiểm.,Chứng nghiện
"Ba tôi có biểu hiện không ngủ liên tục trong nhiều ngày, lúc rất tỉnh táo, lúc thì không được bình thường, tự làm hại bản thân. Có đi khám tổng quát nhưng bác sĩ nói không có vấn đề gì hết, bác sĩ có kê toa thêm thuốc uống cho ngủ được.",Tâm thần phân liệt
"Ở trẻ em, sự ám ảnh vì đã từng bị xâm hại tình dục khiến trẻ đánh mất đi tuổi thơ trong sáng và khó có thể vui vẻ, lạc quan như bạn bè đồng trang lứa.",Khác
Người già có gặp rồi loạn căng thẳng hậu sang chấn không?,Rối loạn căng thẳng sau sang chấn (PTSD)
Cảm xúc của con người thường tồn tại trong bao lâu ?,Rối loạn cảm xúc
Chán ăn tâm lý có thể dẫn đến cái chết không?,Chán ăn tâm thần
Trong phạm vi 2 năm nêu trên (1 năm cho trẻ em và vị thành niên) bệnh nhân không bao giờ thiếu các triệu chứng trong tiêu chuẩn A cho một giai đoạn hơn 2 tháng.,Rối loạn khí sắc
Bệnh Parkinson chia nhóm dựa trên các nguyên nhân gây bệnh đúng không?,Bệnh Parkinson
Tại sao ảo thanh bình phẩm được coi là triệu chứng điển hình của tâm thần phân liệt?,Ảo Thanh
"Tỷ lệ mắc cả đời rối loạn này ở các nước phát triển khoảng 5% dân số, ở các nước đang hoặc kém phát triển chiếm từ 1,53% dân số.",Rối loạn lo âu
"Những triệu chứng thường gặp ở người già bị sa sút trí tuệ như hay lẫn lộn, mất trí nhớ, không còn khả năng thực hiện các hoạt động hàng ngày, tính tình thay đổi đột ngột, trở nên hờ hững, không muốn nói chuyện hoặc giao tiếp nhiều. Ở những giai đoạn nghiêm trọng hơn, bệnh nhân sẽ rất dễ kích động, gặp phải hoang tưởng, cảm xúc bùng nổ, bệnh nhân sẽ mất dần ngôn ngữ, không thể tự chăm sóc hoặc tự phục vụ bản thân.",Bệnh rối loạn tâm thần ở tuổi già
"Phương tiện truyền thông gây ảnh hưởng quan trọng đến rối loạn ăn uống thông qua tác động của nó lên những giá trị, khuôn mẫu và tiêu chuẩn hình thể được chấp nhận bởi xã hội hiện đại. Cả truyền hình đại chúng và bệnh rối loạn ăn uống đều phát triển mạnh trong thập niên gần đây. Các nhà nghiên cứu và thầy thuốc lâm sàng đều quan tâm đến mối quan hệ giữa hai hiện tượng này và đang tìm cách giảm bớt tác động tiêu cực của truyền thông lên nhận thức của phái nữ về hình thể.",Rối loạn ăn uống
"Rối loạn phân liệt cảm xúc và rối loạn trầm cảm hoặc lưỡng cực với triệu chứng loạn thần phải được loại trừ bởi vì (1) không có giai đoạn hưng cảm hoặc trầm cảm xảy ra đồng thời với các triệu chứng giai đoạn cấp hoặc (2) nếu giai đoạn cảm xúc xảy ra trong giai đoạn cấp, chúng chỉ xuất hiện một thời gian ngắn trong tổng thời gian cấp tính hoặc di chứng của rối loạn.",Khác
