text,labels
phụ huynh không ra gì thì dạy con sẽ ra ntn đây tôi còn nhớ có một chuyện mình làm nghê giáo chả có làm gì con họ cả nhưng bị vu oan con họ đăng lên story chửi bới họ vẫn vào bên chả biết đúng sai mình nghĩ những phụ huynh đó chỉ tạo được cặn bã xã hội này thôi,"[26, 20, 25]"
nói thẳng mẹ nó là con kia gato cho xem vui,"[0, 1, 2]"
per tổ đội đánh rắm vào mà xem,"[24, 25, 23]"
rồi túm lại cầu hôn xong chụp hình hạnh phúc kia xong xún tay với người ta là sao ta,"[15, 20]"
lâu lắc chưa xem lại một bộ phim vừa ý nghĩa vừa hài hước,"[0, 2, 11]"
per nhìn quen quen mày ơi,[13]
trai tài gái sắc danh ngôn rồi tài sản chứ tài gì,"[0, 26]"
per giống súp lơ của bạn mình,[27]
per cho chị vui vẻ từ 7h sáng đến 4h45 chiều chứ hả,"[2, 10, 0]"
hien2021 khi về già lại muốn níu kéo thanh xuân khi mất đi một điều gì đó lớn ta mới quay lại quá khứ hãy sống tốt ở thời điểm hiện tại sau nhìn lại ta đỡ nuối tiếc nhiều điều,"[12, 5]"
bà đã được sống 1 kiếp người hạnh phúc mấy ai có được điều đó ngưỡng mộ tình yêu ông dành cho bà,[2]
có tâm mới có tầm cười,[0]
og_dapo đầu tư mỗi ngày một cách nhất quán,"[11, 5]"
nhân viên thu nhâ p cao thi hu tao ma u người i dân phi cao hơn hê tao,"[24, 25]"
ốm cũng được chỉ cần mát thôi,"[4, 11]"
ớt chỉ thiên ngồi ghế trước bế con sẽ được rộng rãi hơn bạn ạ nhà tôi có xe mà bế con nhỏ không ngồi ghế sau được ý chật với khó chịu dã man,"[20, 25]"
thanh cong nguyen những đứa không có tiền mu thường rất cay khi nghe tin vf thịnh hành,"[0, 25]"
tôi đã hối hận vì nói ra để rồi bao giờ tao với cô ấy chẳng còn thể nói chuyện như trước nữa,"[18, 21]"
bụng công nhân thành hố chôn lợn dịch,"[23, 24]"
cho em xin info đứa bạn thân halo này với vào xem mày ngang mũi dọc ntn,"[14, 25]"
per cười tao cười không biết chỗ nín lun,[0]
định share mà đọc bình luận tắt con mẹ nó cảm xúc buồn,[21]
giang ơi làm kênh youtube hoàn chỉnh có khó không mình thấy trên youtube nói phải seo phải đi back link trong khi mình chỉ có đt thôi neu mình không có máy tính có làm được không,"[14, 15]"
bố bạn ý chửi nhẹ đấy bố mình chửi là chỉ mong đầu thai vào nhà khác,"[25, 20]"
nhà nước pháp luật việt nam lên tiếng hộ em nó cái,"[4, 6]"
mèo nhà tao gửi 10 ngày về ăn tết lên nó thành mèo hàng xóm này nhà hàng xóm bán cá buồn,[21]
chỉ đi đường quen thôi đường nào lạ chỉ ngồi sau thôi cười,[0]
đăng thu hien còm hay nhất năm luôn á,"[0, 2]"
nuong luu bắp nè húp nước thôi đừg đưa hút có trân châu,[6]
mèo nhìn dễ thương mà ác vãi 3,[23]
thanh thanh nó là máy móc công suất lớn bạn chỉ cần sơ sẩy một xíu là đi như chơi không có ai bấm dừng máy đó kịp lúc đâu bạn thấy mấy chỗ làm mấy máy cưa gỗ này nọ hok buồn kể cả máy cắt thịt sợ thấy mồ,"[16, 17]"
rose nguyen 1 chồng 2 con rút ra được kinh ngiệm cứ có tiền nhiều tiền và thật nhiều tiền kiếm đứa con nửa là cụộc đời nó sướng rồi chứ có chồng là chua chắc à đỏ đen lắm,"[20, 25]"
đậu den đậu đỏ còn đắt hơn gạo nhiều đấy ăn mát bổ,[13]
ước gì nội mình cũng thương mik vậy,[4]
con này ăn cức mà lớn hay sao ấy đánh không lại thì chạy ngu như bò đứng cho tụi nó đánh,[23]
ui mấy ông tướng men nì từ bé luôn nhỉ đáng yêu chết được yêu thương yêu thương yêu thương,[13]
nam mô anh di đà phật mình khổ cũng không giàu gì nhìn lên không dám nhìn xuống còn có nhiều người khỗ hơn mình chính tôi lúc gia đình nấu cháo bó tay rau muống vào ăn công an nhà chỉ một nấm gạo thôi mình khổ qua,[21]
công nhận chữ đẹp,[8]
cho mình xin sđr của bạn shipper nhé,[4]
nhớ thời sinh viên,[2]
ngồi nhìn nó ngủ cũng thấy dễ thương vler đừng nói cười,"[2, 3, 6]"
nóng cỡ nào nhĩ,"[14, 13]"
cảm ơn chị nhiều em thi cử cũng nhiều áp lực chị làm video hay quá rất mong chị ra nhiều video cảm ơn chị,"[9, 1]"
tvnhinhi xinh tươi quá bạn à,[8]
có ai như tui xem bình luận cười 1 mình 1 cách thích thú vì mấy chị em nói đúng ý tui hết,"[0, 2]"
per dume đái trong quần,[16]
mày vã quá rồi đấy sang lên chứ chán,[27]
doanthe12 đúng quá ấy chứ hi,[11]
bếp dầu lại nhớ thời sinh viên,[27]
bức súc quá không thể chấp nhận được hậu quả của gia đình chỉ được khen không được phê bình mắng phạt đây,[24]
tao ghét và tao sợ nó,"[16, 24, 23]"
cho em hỏi chị ở đâu em gửi quân áo cho anh chị mặt,"[14, 6]"
chủ thớt sấp mặt rồi,[21]
trước tao cũng tin vào tình yêu chân thành lắm niềm tin chết rồi,"[20, 21, 22]"
phóng chim nhưng lại ăn thịt gà vui,[0]
cưng thiệt chớ,[2]
năm ấy mua được amoni nitrat tôi đem thêm 1 lọ diesel đúng lúc bọn nó và tôi đang trong lớp giá mà tôi không bị khó thở khi đó thì tốt rồi bh bọn nó vẫn sống tôi thì trái tim hết rồi,"[18, 21]"
per ít bửa đi coi trailer thấy hấp dẫn quá,[2]
tôi tin crush của tao không bị thịt vì tao đéo crush ai cả cười,[2]
em học tâm lý nhưng tâm trạng của em gần như lúc nào cũng ở trạng thái tiêu cực bế tắc chính vì vậy em không thể theo ngành mình học và không biết mình làm được gì cho bản thân nữa,"[15, 17]"
nam mô đại từ đại bi cứu khổ cứu nạn linh cảm quán thế âm bồ tát cầu xin cầu xin cầu xin,"[9, 10]"
trà ngon nhưng mà nnay thì ph tẩy chay òi,"[20, 25]"
má ghê dị trời nguyễn hường,"[23, 25, 16, 13]"
ánh mắt thằng con muốn nói cứu cháu hình như ba sắp ném con ùi,[16]
norinpham_m4,[19]
điệt cao thế lên tầm này mà chưa chết nhỉ,"[23, 25, 13]"
chất lượng âm thanh bản này hình như nghe hay hơn bản gốc hồi mấy năm trước nhiều 3,"[1, 11, 2]"
con rồng cháu tiên nó phải thế,[7]
uiii xinh gái thế,"[8, 1]"
vũ quang diệu ba phải nữa mùa nó thế dễ bị dắt mũi,[25]
kim ngân c coi roi tức,"[24, 25]"
cố gắng yêu thương nội nhiều nhất có thể chứ không đến khi nội đi rồi thì hối hận nhiều lắm riêng bản thân mình thì không còn cơ hội để yêu thương lại nội nx buồn,"[21, 22, 18]"
như phim lun má wtf,"[0, 13]"
phim nay và phim triệu phú ổ chuột là 2 phim của ấn mà mình thích nhất,"[2, 3, 8]"
chị ra video đúng lúc quá dạo này em lun có cảm giác mệt mỏi và suy nghĩ tiêu cực nhiều thứ thường là về kết quả học tập video này rất hay và bổ ích với em cám ơn chị,"[9, 10]"
em mới đi làm về bị ướt tầm tả cái tắm ra vừa ngồi vào laptop thì thấy anh đăng video này quả thực kênh anh có 1 sức hút rất lạ em nghĩ có 1 phần do những video anh đăng lên phần lớn đều ở những màu tối cảm giác mọi thứ xung quanh rất đơn giản em thấy nó có nét minimalism và mọi người tập trung vào những gì anh truyền đạt nhiều hơn nhận ra những giá trị tốt đẹp tiếp thu được chúc anh và gia đình thật nhiều sức khỏe ạ yêu thương,[8]
per buồn u không biết lúc đấy thực tập chưa buồn,[21]
cảm giác như người ta nhìn thẳng vào mặt mình ngại thật tớ cũng muốn có nhan sắc buồn,"[19, 20, 21, 4]"
quan trọng phải là thần thái,[27]
đm gặp tao thì con này xanh cỏ ròi,"[24, 23]"
chuyện của hà nội được nốt đêm nay thôi nhá ngày mai đứng lên mạnh mẽ tôi ơi,"[5, 7, 1]"
vụ này chắc xử nhanh hơn vụ trong thang máy,"[0, 2]"
nesaragesaraknm dẹp hết bệnh viện và nhà thuốc thì quá tuyệt vời chuyên nghiệp,"[11, 5]"
yêu sai người là điều khiến tôi hối hận nhất,[18]
cái gì vui vậy mọi người vui,[2]
cái gì cũng có 2 mặt của nó làm việc phải nghe bằng 2 tai,[27]
bắn đầu hàng cũng ngại,[19]
không biết 写真,[15]
nangoc84 chia sẻ của anh rất hữu ích,"[9, 11]"
hien2021 hy vọng nhiều rồi lại thất vọng hơn thôi như mình chỉ cần đủ có vui vẻ như giờ không giàu có cũng chẳng phải túng thiếu là được rồi hì hì,[5]
trai tài gái sắc thiệt chớ,[8]
ựa trúng tim đen của em rồi chị giang,[0]
thằng yếu đuối như kia em yêu nó thì cũng không bảo vệ được em đâu yêu anh đi,[26]
thương quá buồn,"[21, 22]"
z là hay ròi buồn,"[11, 21]"
chúc mừng chú trump,"[2, 3]"
vui mình sướng mà mình không biết hưởng nhìn lại những mảnh đời bất hạnh mình nguối mặt thẹn gấp 100 lần,[21]
mắc dại thiệt chứ,[23]
bỏ không ăn pb từ đây vừa rợn vừa tởm cái cách xử lý máu lạnh,[23]
xăng đang lên nên đừng làm chuyện thất đức mấy má ơi cười không tiền hoặc không lấy được thì đừng đặt cho sang mồm tội người ta hiuhiu may mắn trên đời này còn nhiều người tốt yêu thương,"[3, 21, 25, 0, 6]"
đi mà ngửi nách nhau à mua được cái cây về đến nhà còn trơ cọng,[23]
lâm mai sơn cái này là đóng hòm luôn chứ chảy gì nổi nữa vui,"[0, 20]"
kimtuyen112292 quá là hợp lý nhỉ,"[11, 0]"
cre vì sao thế nhỉ,"[15, 14]"
đang đúng lúc tâm trạng của em cảm ơn nhiều chúc chị luôn thành công ra nhiều ví dụ nữa nha yêu thương yêu thương yêu thương,[9]
có đồng nghiệp đáng yêu thì sếp có khó tánh mình vẫn cảm thấy vui rất nhiều nhớ những ngày tháng đéo thèm tăng công an đi ăn bất chấp,[2]
em khác mọi người em không bị tiêu cực vì gia đình học tập và người khác mà em cảm thấy khó thở và sợ vì được sống,[16]
đau lòng quá mày ơi,"[22, 21]"
buồn sợ vãi luôn á,[16]
tớ không giỏi nói chuyện đôi khi vô tình làm tổn thương người khác hoặc gây hiểu nhầm không đáng có,"[17, 18]"
không ngờ tin nhắn riêng tư cũng phải kiêng nể nhắn tin để lỡ có bị chụp vẫn thấy chả sao,[16]
có tiền chưa mà đòi,"[25, 26]"
làm tao liên tưởng đển phượng hoàng cổ trấn vui,[2]
không có đạo đức nghề nghiệp rồi vui,"[23, 26]"
mấy nay tui combat với người hâm mộ quản lý nhiều ume cuồng quá tui nghĩ team cer nhận lỗi khắc phục chịu trách nhiệm là được nhưng xem live thì thấy cũng tội tội quản lý cảm giác bi rối xà bèng tương tác thì vắng mặt nữa sai thì xin lỗi chân thành rồi sửa thôi mà đây lèo lái tùm lum giờ đi vào lòng đất luôn cầu xin cầu xin cầu xin cầu xin,"[20, 25]"
cám ơn các anh,[9]
tao ấn tượng anh đầm hường ghê,[2]
sớm muộn củng chết đuối à,"[25, 21]"
hưng lan chuẩn bạn à,[11]
còn nữa vui việt nam đứng thứ 92 trong bảng xếp hạng fifa thế giói yêu thương,"[0, 23]"
đứng tóp1 thới giới về bàn phím và yang hồ mạng chấp địa cầu này lun cx không bằg,"[0, 7]"
hai con ma đấu đầu con mũ đen ăn toàn cứt nên đanh hơn,[27]
ngã nhìn cũng thấy yêu,"[0, 3, 2]"
vô tri vcd,"[25, 23]"
dume mệt mỏi thật sự,[24]
trong nhà chỉ có bà nội thương tôi nhất nhà cái gì cũng mua cho tôi mong sau này thành công để lo lại cho bà nội,"[4, 6]"
luong nguyen có video á bạn,[27]
ôi hạnh phúc quá vui vui vui,[2]
thành công lớn nhất của đời người là không đái dầm vui,"[0, 7]"
sorry nha áo mình hơi giãn,[19]
sai rõ rồi bếp công cộng nào cũng phải có lưu mẫu chứ nếu không lưu thì lại vi phạm thì xử cái đó,[23]
cho mình xin ví dụ ytb,[14]
tính ra không phải mình tui bị vậy yêu thương,"[0, 10]"
thệc hôk chứ thấy báo mấy anh không à,"[15, 14]"
vàng giả cũng không hít,[27]
nhấp mẹ miếng da chính giữa 2 lỗ rồi lấy muỗng múc là xong,[27]
không nỗ lực khi còn trẻ bởi ngày tháng lãng phí giờ mới nhận ra gia đình cho ta triệu lý do để ta phấn đấu,"[20, 12, 9, 21]"
người ta gọi là ngu mà cứ đâm đầu vào đấy vui,"[0, 26, 25]"
bớt chọc điên tao và bớt leo lên đầu tao ngồi hãy để yên cho tao hiền,[23]
vui chuẩn,"[11, 2]"
con mình 2 đứa đều do mình suy nghĩ và đặc cả tên khai sinh và tên thường gọi ở nhà cũng do mình luôn mình nói muốn tên đó chồng mình gọi về báo ông bà biết là đầy tháng xin keo tên mình đã đặc nếu không được mới nghĩ tên khác,"[2, 3, 7]"
nam chính người nào cũng bị bệnh tự luyến nữa vui,[23]
ở trên có vài bạn ý kiến là mở đường thở ở họng như phim bạn nào biết thì cho ý kiến,[14]
chỉ có bạo lực mới giải quyết được bạo lực tao mà làm luật tao sẽ hạ tuổi người lớn là 13 tuổi đem nó lao động khổ sai 10 năn,[24]
mỗi lần xem bài chị đăng là em rơi nước mắt,"[21, 22]"
yêu thế nhè vui vui vui có em gái chắc cũng vui lắm,[2]
vui cười xong che mắt xong ốm vui,"[0, 2]"
hôm trước cầu hôn nhiều chị em vào cứ xin vía,[0]
trời oi có vid mới ruii,[1]
cảm ơn cảm ơn bạn đã rước cô ấy về dùm tôi anh chồng quay lưng nhẹ nhõm hơn mọi ngày,"[9, 10]"
người ta nuôi vì niềm đam mê,"[3, 7, 8]"
mai bồ hay người yêu cũ mà vẫn qtam ll cũng khốn nạn,[25]
mình ngại giao tiếp kém lắm nên ít bạn,"[19, 21]"
thực ra chủ nó cũng bẩn vãi vui vầy quá kinh dị rồi vui,[16]
chúc mừng cali chuẩn bị trục xuất khỏi mỹ vì ông donald trump tái đắc cử tổng thống mỹ rồi nha chuẩn bị cali chẳng biết đi đâu về đâu chúc mừng nha,"[0, 26, 1]"
per tao nói rồi nha địt con mẹ mày,[24]
tuổi thơ tôi bị ám ảnh mấy con ngỗng này mấy con màu xám cứ mỗi lần đi học ngang qua ngõ nhà hàng xóm là nó đuổi tao lại chạy thục mạng cứ phải đắn đo mỗi lần qua đó xem có chúng nó không rồi ù chạy như ma đuổi thở dài tuổi thơ tôi,"[16, 21]"
đã năm 2000 người ta cho mượn 200 trời rồi từ đó về sau nhà người ta có cần 25 trời tháng hay không,[27]
yêu là 1 cỗ sức mạnh khiến ta mất đi lý trí và ngu dần u,"[20, 21]"
em đang ở đâu mà mấy năm rồi chưa thấy xuất hiện vui,"[14, 21]"
hôm nay thật tệ buồn,[21]
em ấy đang khóc nhưng vì hàm răng không thể thụt vào nên mọi người nghĩ là em đang cười vui,[2]
kaii,[11]
sao mình không thấy mình vậy ta,[27]
nằm nghiêng qua 1 bên cứ có cảm giác bên còn lại còn 1ng nữa,"[0, 2]"
thông cảm hoocmon nam còn nhiều,[0]
per vui quá đi dạo được ven hồ rồi,"[1, 2]"
chả ngon hay chả ngon,[14]
bạn hãy cứ làm có trách nhiệm sếp luôn theo bạn,"[0, 5]"
nhân nguyễn ăn hết nhà tôi thì tôi xoắn lên chứ buồn,"[21, 25]"
các anh chị hãy nói với em đó chỉ là diễn xuất mà thôi và tình yêu như vậy chỉ có trong tiểu thuyết mà thôi,"[0, 3]"
đúng vì những suy nghĩ chưa thấu đáo mà mình đã quyết định sai,"[20, 18]"
anh cũng bướng làm,[27]
hồi đó cấp 2 mà bán đồ lời mấy chục là mừng quýnh lên rồi cười,[2]
muốn tiếp thu giáo dục phương tây thì tiếp thu cho trọn đừng nhặt vụn vặt làm sai lệch một thế hệ tương lai,"[25, 26]"
dân chơi nhìn cái biết ngay,"[12, 0]"
ít người vậy mới dễ làm ăn,[5]
người nhật giỏi ở chỗ đó đây không phải là sự phiền hà mà là một cơ hội,[8]
có 1 số cái phản đối tư duy của bạn này mình 32 tuổi,[26]
người anh em thiện lành nhận bao tiền để viết bài này,"[14, 15]"
ngồi chờ anh ra video mà lâu quá lần nào xem cũng nhận được năng lượng tích cực và tràn đầy tâm huyết của anh yêu thương,"[1, 5]"
hai yen hồi trước tui siêu sợ mèo luôn ấy nó chả làm gì cũng thấy sợ vl cười có 1 lần nhà tui nuôi mèo đen con do nó nghịch sợi dây cột nó ra sao thành thắt c ổ tự tử luôn nỗi sợ mèo lớn dần thêm cười khoảng thời gian sau đó mỗi lần tui thấy mèo là nỗi cực hình đối với tui nó mà tới gần tí thôi là nỗi cả da gà,"[16, 17, 21, 23]"
nhìn cái ngành giáo dục việt nam bây giờ ai cũng mệt mỏi,"[21, 25]"
lâm hoàng vũ đúng suy nghĩ,[11]
chúc đại kỷ nguyên có một buổi tối ấm áp nha yêu thương,"[2, 3]"
nguyễn phi hoàng bách anh tui cũng bị cái phòng khám quần què này moi tiền nè,[24]
tâm trạng vậy em,[6]
nguyễn huy mạnh thằng pọt chơ vượt vạch liền sai làn mà,[25]
hèn dì mấy nay đi học thấy bạn của crush nhìn mình cười,[2]
cảm ơn bố,[2]
không ngon như lần trước nữa,[20]
được đấy không sao cả tình yêu mà chỉ ai trong cuộc mới hiểu vui,"[5, 3, 2, 11]"
cac bụi các bui chỉ photo công chứng là được bạn à giữ như vậy là vi phạm đấy,"[25, 26]"
lần đầu đến phú quốc năm 2015 hồi chưa có đầu tư zới du lịch mạnh mẽ như bây giờ vẫn nhớ như in được đi sâu vào rừng cái này mình không nhớ rõ để diễn đạt nữa rồi tắm bãi sao không biết bãi này bây giờ như nào nữa có bị phá đường rừng để mở lối vào không hay vẫn giữ nguyên năm đó đi bơi mà chỗ này cực ít khách tắm tầm chiều muộn nên cảm giác đìu hiu hoang sơ nhưng cực kì thiên nhiên lun,"[1, 14, 2]"
không phù hợp thổ nhưỡng khí hậu vậy mà vẫn tung hô dải ngân để làm khổ dân quả bóng trách nhiệm chẳng thuộc về ai cả buồn buồn,[21]
ngồi ăn mà 3 đứa cứ nhìn châm châm thế này sao nuốt nổi,"[19, 25]"
vợ người ta chưa bao giờ làm tôi thất vọng còn vợ tôi thì đi hết 1 3 cuộc đời rồi vẫn chưa tìm thấy,[21]
thật íi kể cả với gia đình tớ cũng ngại về mọi thứ tôi có rất nhiều khuyết điểm,"[21, 19]"
duylongle đó là một cách nghĩ rất lý trí đó hy vọng khi rơi vào hoàn cảnh như vậy vẫn có thể sáng suốt lựa chọn,"[5, 11]"
thanh niên quá cứng,[27]
tôi thấy tương lai của tôi trong bức ảnh này dân,[27]
nhunhu691 cố gắng nha hãy mạnh mẽ trước khó khăn và dũng cảm đối mặt,"[5, 6]"
ấm lòng vãi buồn,"[21, 3, 2]"
dkm xấu mặt những thằng tập phòng tập vkl tao đéo hiểu sao thằng này nó lại thích đi đường tiểu ngạch là sao,"[23, 24]"
yêu thương yêu thương,[3]
đang nghỉ giải lao xem ván 3 thấy lợi thế lớn ăn được baron rồi vào làm nghĩ thắng được trung quốc lụm hcd mà vừa làm vừa vui mừng đến khi tan làm ra xem thì lại thua buồn thật chứ buồn,"[20, 21]"
quan trọng là họ quảng cáo nói có đúng không hay là được ít năm hỏng thì mệt,[27]
ha ha yêu thương chất lắm,[2]
cờ của ta thắm máu bao thế hệ phải tôn trọng nó,[7]
per thật sự là có cách nào dắt bé đi theo được không buồn,"[14, 4]"
đúng tôi vẫn lun chờ đợi đứa đó dọn dô cuộc đời tôi sống,[2]
thái châu cùng suy nghĩ,[11]
đáng nhẽ nên làm việc này từ sớm chứ hàn quốc họ làm từ lâu rồi ạ,[27]
nhật trangg thật mình thì cứ thuận cất lời thoại là bấm mute,"[25, 20]"
có bao nhiêu đôi ngôn tình cớ sao lìa xa mình ta buồn,"[20, 21]"
cuộc sống mà ghi không được thì thôi sao mấy bạn chửi người ta dữ vậy,[27]
admin cho hỏi nghệ an lúc nào mưa vậy ah ốm cũng cam lòng chứ vã lắm rồi,[21]
qua rồi nhìn lại mới thấy ngu tiền sài cơm bưng điều của cha mẹ chữ hiếu chưa trả mà như vậy hết sài vứt,"[18, 20, 23]"
thứ tôi hối hận nhất là tin 1 người mà mình yêu thương nhất trên đời đổi lại là những nỗi đau của quá khứ,"[18, 21]"
mỗi lần về quê mà sắp sửa đi qua chuồng ngỗng tao phải cầm cây chổi lông gà mới đi được đấy dume quơ quơ vòng vòng cho mấy đĩ ngỗng né xa ra rồi chạy thụt lol luôn,[16]
chỉ có bản thân chúng ta mới thấy được khuyết điểm của mình đối với người khác chưa chắc họ đã để ý nên hãy tự tin lên nha mọi người,"[5, 6]"
ha nguyen vđ là cân bằng việc học và chơi chứ cái cô thuận này đến con đọc truyện cũng không cho không cho con thời gian relax,"[21, 25]"
cơm từ thiện không tốn tiền nên không biết quí trọng ý thức còn thấp quá,[23]
thùy linhh anh cho em cái gì không,"[1, 0]"
ôi gu mình mà phim lâu quá rùi giờ mà đóng lại bản khác thì không biết sao haaa,"[0, 6, 14]"
thành phố tao nhiều người còn dân trí thấp là sao bố con dở người,[25]
thêm 1 câu của anh công an các cháu tuổi này giờ là đi học chứ không phải ở đây thổi thửa mua vui để cho mọi người quay phim chụp hình livestream như này câu nói chí mạng cho cái đám cầm điện thoại quay quay,"[24, 25]"
đúng là yêu tới đầu bạc răng long,[3]
hân như không có hình my với như đứng góc bảng nhỉ cười,[0]
móng tay dài như vậy thì làm gì để sống phục vụ bản thân cũng khó khăn uổng phí hết tuổi trẻ một đời người để nuôi một bộ móng thay vào đó làm việc gì có ích cho bản thân gia đình và xã hội đời người ngắn ngủi nên trân trọng thời gian quý báu của mình,[23]
hãy vui lên như khôi nè,"[0, 2, 5]"
một người đàn ông bản lĩnh thực sự,"[8, 11]"
đây là tao khi bảo tao biết đường mà tin tao,[2]
lại nhuộm vàng súng ống rồi,"[25, 23]"
hối hận có quay lại được không,"[18, 4]"
anh grab phan thiết bình thuận mãi đỉnh,"[8, 11, 1, 7]"
về việt nam thì gọi nó là ngáo chó,"[23, 24]"
nên chia sẻ rộng rãi cho bác tô lâm thấy,"[11, 6]"
chị ra video khi mà em đang cảm thấy chán nản thực sự em phải rời bỏ những thứ mà em từng nghĩ nó sẽ là mãi mãi của cuộc đời có lẽ một điều gì đó mới sẽ chờ đón em em đã sai rất nhiều rồi và có lẽ đây là sự trừng phạt,"[21, 18, 20]"
camry nhập thường cán bộ mà cán bộ anh em hiểu rồi,[23]
sao toàn gái ngành với bọn chủ tịch bình luận không vậy,[23]
em thực sự cảm ơn anh thành và những video ý nghĩa cảu anh rất nhiều em chúc anh luôn có sức khoẻ và tinh thần thật tốt thành công trong con đường anh lựa chọn và tiếp tục lan toả thật nhiều điều tốt đẹp đến cộng đồng ạ,[9]
bà nói thiệt hả bà thơ,"[13, 14]"
món này ngon vãi,"[0, 2]"
chỉ là nóng quá tắm cho mát thôi mà,[27]
đúng là nói thì dễ hành động không bao giờ làm được,[21]
sáng nay tao mới thấy 2 con này đi cùng,[27]
cảm ơn c đã có video hữu ích này mấy bữa nay em quá là áp lực và tiêu cực về công việc mặc dù em là người luôn vui vẻ nhưng mà cũng không tránh được việc thường xuyên bị áp lực yêu thương yêu thương yêu thương,"[9, 10, 17]"
cay mắt lắm mà nhìn nó lại nhớ nhiều kỉ niệm,[21]
phát ngán,"[25, 23]"
đợi chắc sang kiếp sau luôn quá,[27]
soi mà không đủ tiền mua thì soi làm gì,[25]
một chuyến du lịch vui vẻ,"[1, 2]"
cái mặt cưng xĩu,[2]
man tivi đm chị ý chị bị đau bụng mà vẫn phải đi dự họp báo thôi,"[6, 24, 25]"
cái loại mất nết làm nghề mà đéo có lương tâm,[24]
thôi không tranh cãi không lại các bác nói chung không cấm thì đỗ còn đỗ để làm gì thì do ý thức mỗi người,[27]
tự ti lắm nên làm sao giữ được cậu vui,"[19, 2]"
gặp được em nhưng sẽ chỉ quan tâm và bảo vệ em từ xa,[21]
per hay đó bro trừ điểm bro chưa bao ăn vui 10,"[0, 25]"
cần gì xa hoa đâu thế này là hạnh phúc thấy thương và ngưỡng mộ ông bà quá,[2]
bất cái con cặc 21 cái trung thu tao vẫn 1 mình tao có thấy bất hạnh đâu khẩu nghiệp,[24]
30 tuổi đi học 34 làm culi nhật bản,[0]
ý thức tồi,[23]
tao đéo thấy nó hay trỗ lào mà bọn nó cuồng vãi,[23]
ngại gì thế vừa nhanh vừa tiện,[27]
hối hận nhất nhất là đã lấy chồng,[18]
vui bình tĩnh bình tĩnh tất cả chỉ là hiểu lầm,"[12, 0]"
sống là tốt rồi kệ mẹ đời nói,[5]
tôi đã soi gương suốt ngày chỉ để gặp crush và ngắm nụ cười tỏa nắng của nó,[2]
hết cá rồi đến chim chán luôn,"[25, 21]"
hội khẩu nghiệp trông rất ra gì chứ cũng không phải khố rách áo ôm 3 mặt con rồi mà sống lỗi bắt nạt ăn thịt người như vậy sau này con lớn lên ra đời cũng gặp loại người như bố mẹ nó bị ức hiếp thì tội nghiệp,"[21, 22]"
bắt xong thả bắt xong thả tích phước ghê,"[0, 25]"
ngày nào cũng vậy có bỏ lỡ ngày nào đâu mà,[27]
gia đình thì không còn tình yêu thì chưa có gì chắc chắn,"[20, 21]"
dume mất dạy,"[23, 24]"
